epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,594.832,0.64472,0.45223,0.99206,0.99415,1,0.995,0.82548,0.64303,0.34504,1.02571,0.000511769,0.000511769,0.000511769
44,607.324,0.65947,0.43433,1.00352,0.96542,0.99782,0.995,0.83482,0.71178,0.34044,1.0482,0.000484263,0.000484263,0.000484263
45,620.626,0.62479,0.42457,0.98611,0.97061,0.99922,0.995,0.83323,0.65725,0.31078,1.06219,0.000456758,0.000456758,0.000456758
46,633.008,0.64255,0.43695,1.00835,0.99349,1,0.995,0.80971,0.76794,0.33887,1.05407,0.000429253,0.000429253,0.000429253
47,645.258,0.61135,0.40282,0.97601,0.97618,0.99748,0.995,0.82653,0.69893,0.38311,1.04193,0.000401747,0.000401747,0.000401747
48,657.58,0.61567,0.40721,0.9785,0.99601,1,0.995,0.84038,0.63985,0.30685,1.01804,0.000374242,0.000374242,0.000374242
49,669.798,0.63396,0.4289,0.97194,0.99461,1,0.995,0.83528,0.63482,0.32622,1.01594,0.000346736,0.000346736,0.000346736
50,682.43,0.63087,0.41,0.99397,0.99566,1,0.995,0.8505,0.64191,0.32506,1.02937,0.000319231,0.000319231,0.000319231
51,699.107,0.56428,0.37833,0.96958,0.99366,1,0.995,0.82267,0.81394,0.32494,1.11132,0.000291725,0.000291725,0.000291725
52,712.392,0.56643,0.34536,0.96473,0.99174,1,0.995,0.80849,0.7805,0.32016,1.10199,0.00026422,0.00026422,0.00026422
53,724.554,0.56353,0.33452,0.95984,0.97302,1,0.995,0.83057,0.82966,0.3266,1.0961,0.000236714,0.000236714,0.000236714
54,738.512,0.55261,0.32842,0.9457,0.98856,1,0.995,0.82639,0.85504,0.31158,1.10031,0.000209209,0.000209209,0.000209209
55,750.655,0.54412,0.31698,0.96175,0.9893,1,0.995,0.84319,0.79428,0.34437,1.096,0.000181703,0.000181703,0.000181703
56,763.627,0.53635,0.31674,0.95302,0.98274,1,0.995,0.82586,0.82388,0.33356,1.09788,0.000154198,0.000154198,0.000154198
57,775.565,0.53948,0.31623,0.9685,0.95824,1,0.995,0.82831,0.83944,0.31783,1.10396,0.000126692,0.000126692,0.000126692
58,788.445,0.52774,0.30049,0.93777,0.97292,1,0.995,0.82094,0.83296,0.3336,1.10371,9.91865e-05,9.91865e-05,9.91865e-05
59,800.173,0.54543,0.31094,0.96392,0.9718,1,0.995,0.81987,0.78201,0.32563,1.08944,7.1681e-05,7.1681e-05,7.1681e-05
60,812.952,0.52153,0.30146,0.94748,0.97607,1,0.995,0.81961,0.7788,0.33212,1.08546,4.41755e-05,4.41755e-05,4.41755e-05
