epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1837,1.13826,3.06541,1.48513,0.00335,1,0.56085,0.3573,0.72147,2.97757,1.20523,0.00026672,0.00026672,0.00026672
2,39.7277,0.8301,2.13477,1.19257,0.00333,1,0.56511,0.4088,0.76468,2.82679,1.22462,0.000541033,0.000541033,0.000541033
3,50.657,0.90221,1.71735,1.22636,0.00334,1,0.61306,0.4149,1.01237,2.65527,1.38459,0.000805995,0.000805995,0.000805995
4,59.967,0.89372,1.51942,1.17809,0.91506,0.49567,0.83089,0.63923,0.91088,2.25478,1.35125,0.0010616,0.0010616,0.0010616
5,70.7251,0.91044,1.35067,1.17433,0.85089,0.70213,0.84635,0.65358,0.89332,1.90921,1.27846,0.00130786,0.00130786,0.00130786
6,81.332,0.83557,1.25043,1.1198,0.85185,0.79461,0.94311,0.69,0.8681,1.57856,1.26874,0.00152947,0.00152947,0.00152947
7,91.8653,0.85912,1.12415,1.11566,0.89132,0.80926,0.9365,0.66714,0.89482,1.37981,1.34291,0.00150197,0.00150197,0.00150197
8,102.808,0.83619,1.05096,1.09016,0.78772,0.70395,0.82672,0.66004,0.79154,1.42426,1.24282,0.00147446,0.00147446,0.00147446
9,112.649,0.83824,0.98899,1.09023,0.95939,0.93039,0.95969,0.72595,0.98829,1.20338,1.45447,0.00144696,0.00144696,0.00144696
10,123.122,0.86814,0.97796,1.09591,0.79409,0.79849,0.76897,0.57647,0.85536,1.62137,1.22352,0.00141945,0.00141945,0.00141945
11,133.453,0.81762,0.90539,1.07616,0.93911,0.90083,0.99324,0.75663,0.74328,1.7314,1.15265,0.00139195,0.00139195,0.00139195
12,143.679,0.82885,0.86423,1.09048,0.81196,0.76786,0.7629,0.58116,0.83865,1.51184,1.20672,0.00136444,0.00136444,0.00136444
13,154.919,0.80405,0.84235,1.07611,0.87932,0.97815,0.97789,0.79966,0.76589,0.96352,1.15129,0.00133693,0.00133693,0.00133693
14,163.207,0.8074,0.84016,1.08082,0.91017,0.9375,0.94012,0.77218,0.75462,0.90734,1.14423,0.00130943,0.00130943,0.00130943
15,174.269,0.79443,0.81861,1.07883,0.91405,0.82143,0.88825,0.7357,0.71513,1.1799,1.12811,0.00128192,0.00128192,0.00128192
16,184.939,0.76674,0.76309,1.07668,0.94191,0.96875,0.98093,0.80729,0.71815,0.86957,1.14649,0.00125442,0.00125442,0.00125442
17,196.352,0.7753,0.73696,1.05971,0.90426,0.8965,0.94417,0.73005,0.80866,0.92487,1.17881,0.00122691,0.00122691,0.00122691
18,206.906,0.75923,0.68938,1.03938,0.88187,0.94767,0.96823,0.75751,0.80102,0.7492,1.15449,0.00119941,0.00119941,0.00119941
19,216.389,0.81945,0.73501,1.07984,0.98942,1,0.995,0.84967,0.67056,0.52104,1.08846,0.0011719,0.0011719,0.0011719
20,225.722,0.75054,0.71549,1.0404,0.96427,0.93304,0.96733,0.78476,0.77869,0.60249,1.17114,0.0011444,0.0011444,0.0011444
21,236.647,0.73722,0.67367,1.03022,0.98694,0.99864,0.995,0.81434,0.73843,0.63355,1.17275,0.00111689,0.00111689,0.00111689
22,246.365,0.74515,0.64925,1.04325,0.9151,0.96247,0.99033,0.81808,0.73107,0.55036,1.16707,0.00108938,0.00108938,0.00108938
23,257.525,0.71581,0.605,1.03423,0.98081,0.94134,0.995,0.81186,0.75418,0.45813,1.15084,0.00106188,0.00106188,0.00106188
24,266.14,0.75282,0.63114,1.05988,0.9912,1,0.995,0.83014,0.71624,0.37805,1.14094,0.00103437,0.00103437,0.00103437
25,276.871,0.71839,0.59558,1.02834,0.99768,0.98577,0.995,0.8182,0.74716,0.38138,1.13785,0.00100687,0.00100687,0.00100687
26,287.469,0.70172,0.57002,1.0246,0.99575,0.98671,0.995,0.85341,0.6579,0.43294,1.06387,0.000979362,0.000979362,0.000979362
27,298.518,0.73864,0.61477,1.05547,0.99429,1,0.995,0.82281,0.73786,0.43126,1.14934,0.000951857,0.000951857,0.000951857
28,309.126,0.72036,0.55667,1.0189,0.96937,0.98898,0.995,0.81995,0.71225,0.43729,1.11296,0.000924352,0.000924352,0.000924352
29,318.895,0.71035,0.56972,1.02539,0.98677,1,0.995,0.80893,0.77857,0.43184,1.15028,0.000896846,0.000896846,0.000896846
30,328.889,0.68039,0.54224,1.0153,0.98486,1,0.995,0.84319,0.68981,0.38732,1.08585,0.00086934,0.00086934,0.00086934
31,339.411,0.67788,0.51238,1.00614,0.9914,1,0.995,0.81667,0.72449,0.35495,1.16006,0.000841835,0.000841835,0.000841835
32,350.523,0.69483,0.52805,1.0143,0.9528,0.99766,0.995,0.85815,0.65785,0.36736,1.06073,0.000814329,0.000814329,0.000814329
33,361.389,0.69353,0.51842,1.01646,0.99484,1,0.995,0.84697,0.64372,0.31622,1.07621,0.000786824,0.000786824,0.000786824
34,370.231,0.66672,0.49788,1.00561,0.99165,1,0.995,0.85349,0.6446,0.33328,1.06157,0.000759318,0.000759318,0.000759318
35,380.665,0.70348,0.4868,1.02335,0.99564,1,0.995,0.83592,0.70915,0.35248,1.10959,0.000731813,0.000731813,0.000731813
36,390.918,0.67021,0.48027,1.01283,0.99349,1,0.995,0.82365,0.71966,0.32285,1.11198,0.000704307,0.000704307,0.000704307
37,401.149,0.67395,0.48042,1.00811,0.99589,1,0.995,0.85119,0.64298,0.30586,1.06787,0.000676802,0.000676802,0.000676802
38,411.884,0.65043,0.47315,1.00389,0.99453,1,0.995,0.83041,0.70562,0.32476,1.14339,0.000649297,0.000649297,0.000649297
39,422.162,0.65091,0.50348,1.00101,0.99472,1,0.995,0.84689,0.70163,0.31981,1.11259,0.000621791,0.000621791,0.000621791
40,432.198,0.66569,0.47404,1.00107,0.99319,1,0.995,0.80911,0.73312,0.31586,1.15704,0.000594286,0.000594286,0.000594286
41,442.598,0.64344,0.47,0.99749,0.9922,1,0.995,0.81814,0.78664,0.34212,1.18368,0.00056678,0.00056678,0.00056678
42,452.997,0.63952,0.46007,0.99598,0.99536,1,0.995,0.80158,0.78348,0.31917,1.1972,0.000539275,0.000539275,0.000539275
43,463.916,0.64815,0.4476,0.98499,0.99549,1,0.995,0.83805,0.68915,0.31467,1.09753,0.000511769,0.000511769,0.000511769
44,473.863,0.64896,0.44793,0.99524,0.99585,1,0.995,0.82814,0.72203,0.30072,1.10738,0.000484263,0.000484263,0.000484263
45,484.967,0.63605,0.44177,1.00289,0.99567,1,0.995,0.82904,0.71234,0.30608,1.11668,0.000456758,0.000456758,0.000456758
46,494.651,0.62543,0.41598,0.99677,0.99581,1,0.995,0.82247,0.69436,0.32099,1.09696,0.000429253,0.000429253,0.000429253
47,506.265,0.63099,0.42893,0.98831,0.99491,1,0.995,0.85546,0.66393,0.30695,1.08154,0.000401747,0.000401747,0.000401747
48,516.28,0.6275,0.43919,0.99139,0.9951,1,0.995,0.82911,0.70138,0.29362,1.1003,0.000374242,0.000374242,0.000374242
49,525.897,0.62005,0.42896,0.98584,0.99431,1,0.995,0.84172,0.69708,0.2917,1.09723,0.000346736,0.000346736,0.000346736
50,537.026,0.60679,0.40834,0.97651,0.99417,1,0.995,0.84928,0.67974,0.29836,1.10468,0.000319231,0.000319231,0.000319231
51,553.232,0.57273,0.39845,0.97753,0.9933,1,0.995,0.83944,0.68717,0.29872,1.12003,0.000291725,0.000291725,0.000291725
52,563.599,0.56508,0.3626,0.96613,0.99279,1,0.995,0.85528,0.66352,0.28475,1.08853,0.00026422,0.00026422,0.00026422
53,574.827,0.56484,0.35921,0.98108,0.99373,1,0.995,0.83623,0.65803,0.29307,1.09268,0.000236714,0.000236714,0.000236714
54,584.794,0.57813,0.35336,0.97035,0.99433,1,0.995,0.829,0.68536,0.28808,1.11102,0.000209209,0.000209209,0.000209209
55,595.131,0.55425,0.33567,0.97136,0.99429,1,0.995,0.83901,0.71223,0.28442,1.10627,0.000181703,0.000181703,0.000181703
56,603.595,0.54994,0.32638,0.95971,0.99453,1,0.995,0.83751,0.67833,0.27687,1.09395,0.000154198,0.000154198,0.000154198
57,614.229,0.54986,0.32205,0.96138,0.9944,1,0.995,0.83568,0.66984,0.27098,1.0995,0.000126692,0.000126692,0.000126692
58,625.418,0.54721,0.3218,0.96136,0.99438,1,0.995,0.82785,0.67194,0.28842,1.1162,9.91865e-05,9.91865e-05,9.91865e-05
59,635.814,0.53615,0.31716,0.94995,0.99407,1,0.995,0.83673,0.67341,0.28638,1.11556,7.1681e-05,7.1681e-05,7.1681e-05
60,645.303,0.5483,0.31627,0.95615,0.99481,1,0.995,0.83791,0.6762,0.28052,1.11442,4.41755e-05,4.41755e-05,4.41755e-05
